"Progress of species at risk towards their population and distribution objectives, Canada, May 2024",,,,,,,,,,
,,,,,,,,,,
Common name,Scientific name,Species group,Species at Risk Act status,Final recovery document date,Reassessment date,Progress report date,Recovery document objectives ,Species data,Rationale,Progress of species at risk towards their population and distribution objectives
Allegheny Mountain dusky salamander (Carolinian population),Desmognathus ochrophaeus,Amphibian,Endangered,3/6/2019,4/1/2018,4/1/2018,Safeguard existing populations and if feasible introduce to unoccupied habitat with aim of increasing population size by 50%.,Likely less than 100 mature individuals in 2 locations,Currently not possible to determine population trends for this species. ,Insufficient data to determine trends
Allegheny Mountain dusky salamander (Great Lakes/St. Lawrence population),Desmognathus ochrophaeus,Amphibian,Threatened,12/10/2014,4/1/2018,4/1/2018,Maintain presence in each known occurrence.,Probably less than 1000 mature individuals.,Population trends cannot be determined from the available data.,Insufficient data to determine trends
American Hart's-tongue fern,Asplenium scolopendrium,"Vascular plant, fern",Special Concern,4/30/2013,11/1/2016,11/1/2016,Maintain extant populations at their current abundance and distribution.,"The Canadian population is estimated to be more than 110 000 individuals. Abundance was not calculated in the past, so it is not possible to know if there has been any change.",Population trends are unknown.,Insufficient data to determine trends
American marten (Newfoundland population),Martes americana atrata,Mammal,Threatened,7/9/2013,5/1/2022,12/23/2022,"Increase the wild population of American Marten to establish a stable and self-sustaining population in Newfoundland. To maintain areas currently occupied by marten, and to establish marten in areas adjacent to known populations where the potential for occupancy is high.","In 1985 estimated 630 to 875 Marten; 1995 estimated 300 mature individuals, 2007 estimated 320 to 622 mature individuals, 2019 estimated 2,494 to 2,773 mature individuals. The distribution of Newfloundland Marten has increased since 2007. Marten now occur in at least 15 of the 18 forest management districts and both national parks. Marten are recolonizing parts of their historical range in the Baie Verte Peninsula, Stephenville south area and forested areas in southcentral Newfoundland. In Gros Morne National Park, the population was presumed extirpated through the 1990s, estimated at less than 5 in 2001-2002, 15 to 20 in 2012 and 26 to 36 individuals in 2017. In Terra Nova National Park from 2017 to 2022, the catch rate of the population has exceeded baseline levels of 2.59 captures per 100 trap nights. The population is well-established and stable.","There is an estimated increase in the total number of mature individuals between 2007 and 2019, and there is an increase in the extent of occurance and area of occupancy.",Yes
American water-willow,Justicia americana,"Vascular plant, herb",Threatened,3/28/2011,4/1/2021,,"The population and distribution objectives are to maintain (and if possible increase) the current number of individuals within existing populations, to maintain the number of locations (10) and to prevent the decline in the quality of habitat.","There are 13 known extant subpopulations. In 2020, the Canadian population was estimated at 1,432,595 mature individuals. The best available information suggests a decline of 94.4% in the overall Canadian population over the past 10 years. The decline is attributed to losses from the Rivière des Mille-Îles subpopulation, which was 99% of the total Canadian population in 2007. It saw a dramatic decline in 2010 and later stabilized. The other subpopulations are a mix of declining, increasing and stable.","Though there are varying trends between populations, there is an observed decline of 94.4% from 2007 to 2014 of the overall population, most from the Rivière des Mille-Îles subpopulation (which accounts for 99% of the total population in Canada). ",No
Anticosti aster,Symphyotrichum anticostense,"Vascular plant, herb",Special Concern,9/27/2012,4/1/2017,4/1/2017,"Maintain the Canadian population at its current known size, distribution and area of occupancy.","The population is estimated at 410 000 to 1 063 000 stems, distributed in 18 subpopulations. The subpopulations appear to be stable.",Populations are stable,Yes
Athabasca thrift,Armeria maritima ssp. Interior,"Vascular plant, herb",Special Concern,12/18/2013,4/1/2018,4/1/2018,Maintain current population density and area of occupancy.,Population estimated to be 1 080 000 to 9 360 000 individuals. Subspecies distributed in 3 distinct subpopulations in 3 separate dune fields. Potential decline in extent of occurrence based on forest ingress along western margins of William River dunes. Decline in habitat due to net conversion of open dune area to forest.,No information available to directly assess population trends,Insufficient data to determine trends
Atlantic salmon (Inner Bay of Fundy population),Salmo salar,"Fish, marine",Endangered,5/4/2010,11/1/2010,8/3/2021,"By 2015, conserve the genetic characteristics of the few remaining anadromous inner Bay of Fundy Atlantic salmon populations. Re-establish self-sustaining populations to their conservation levels in 10 river systems.","This population once bred in 32 rivers tributary to the inner Bay of Fundy; however, spawning no longer occurs in most rivers. The population, which is thought to have consisted of about 40 000 individuals earlier in the 20th century, is believed to have been fewer than 200 individuals in 2008. Survival through the marine phase of the species' life history is currently extremely poor, and the continued existence of this population depends on a captive rearing program.",Fewer than 200 mature individuals are left in the wild and the population is not self-sustaining.,No
Atlantic walrus (Northwest Atlantic population),Odobenus rosmarus rosmarus,Mammal,Extirpated,2/26/2008,4/1/2017,,Not feasible,n/a,n/a,Not feasible
Atlantic whitefish,Coregonus huntsmani,"Fish, freshwater",Endangered,2/23/2007,12/1/2022,9/6/2022,Achieve stability in the current population in Nova Scotia. Re-establish the anadromous (ocean-going) form. Increase the number and range of viable populations.,"The exact size of the remaining population is not known but is believed to be small. The species is endemic to Canada and its current distribution is restricted to 3 interconnected lakes in southwestern Nova Scotia. The species is threatened by illegally introduced predatory fishes, water-control structures that impede movement, municipal alteration of water levels, and declining habitat quality. Hatchery-reared fish released at a second lake location did not persist, therefore the extent of occurrence remains unchanged. New captive rearing efforts are underway and range expansion is being planned.","Previous efforts to expand the species' range were not successful. New captive rearing and range expansion efforts are planned and underway but have not yet been fully implemented. The species continues to be threatened by illegally introduced predatory fishes, water-control structures that impede movement, municipal alteration of water levels, and declining habitat quality. If these threats are not reversed, they will lead to the extinction of this unique Canadian species.",No
